#,MPN,MFR,Description,Qty,Reference,MPN ALTERNATE,MFR ALTERNATE
1,CC0603JRNPO9BN181,YAGEO,CAP CER 180PF 50V C0G 0603,4,"C1,C2,C3,C4",,
2,CC0603KRX7R9BB104,YAGEO,CAP CER 0.1UF 50V X7R 0603,6,"C5,C6,C9,C10,C11,C12",,
3,EEE-FK1V100UR,PANASONIC,CAP ALUM 10UF 20% 35V SMD,2,"C7,C8",,
4,MBR0530T1G,ONSEMI,DIODE SCHOTTKY 30V 500MA SOD123,3,"D1,D4,D5",,
5,150060BS75000,WUERTH ELEKTRONIK,LED BLUE CLEAR 0603 SMD,2,"D2,D3",,
6,WQP518MA,QINGPU,MONO SWITCHABLE TRS JACK,11,"J1,J2,J3,J4,J5,J6,J7,J8,J9,J11,J12",,
7,WQP419GR,QING PU,STEREO TRS JACK,1,J10,,
8,M20-7870546,HARWIN,CONN RCPT 10POS 0.1 GOLD SMD,4,"J13,J14,J15,J16",966210-2000-AR-PR,3M
9,61201021721,WUERTH ELEKTRONIK,CONN HEADER R/A 10POS 2.54MM,1,J17,,
10,RC0603FR-07220RL,YAGEO,RES 220R OHM 1% 1/10W 0603,4,"R1,R2,R17,R18",,
11,RC1210FR-071KL,YAGEO,RES 1K OHM 1% 1/2W 1210,2,"R3,R4",,
12,RC0603FR-0720KL,YAGEO,RES 20K OHM 1% 1/10W 0603,4,"R5,R7,R11,R13",,
13,RC0603FR-0710KL,YAGEO,RES 10K OHM 1% 1/10W 0603,8,"R6,R8,R9,R10,R12,R14,R15,R16",,
14,RC1206FR-076K8L,YAGEO,RES 6.8K OHM 1% 1/4W 1206,1,R19,,
15,RD901F-40-15F-B10K-00D70,ALPHA,10K POTENTIOMETER LINEAR,8,"RV1,RV2,RV3,RV4,RV5,RV6,RV7,RV8",,
16,TL1105SPF250Q,E-SWITCH,SWITCH TACTILE SPST-NO 0.05A 12V,1,SW1,,
17,2MS3T1B1M2QES,DAILYWELL,SUBMINIATURE TOGGLE SWITCH ON OFF ON PC PIN,2,"SW2,SW3",,
18,LTV-355T,LITE-ON,OPTOISO 3.75KV DARLINGTON 4SOP,1,U1,,
19,TL074CPWR,TEXAS INTRUMENTS,IC OPAMP JFET 4 CIRCUIT 14TSSOP,1,U2,,
20,LM4040CIM3-5.0/NOPB,TEXAS INTRUMENTS,IC VREF SHUNT 5V 0.5% SOT23-3,1,U3,,
21,CD4052BPWR,TEXAS INTRUMENTS,IC SWITCH SP4TX2 240OHM 16TSSOP,1,U4,,
