Designator,Mid X,Mid Y,Rotation,Layer
C1,76.454,-76.581,0.0,bottom
C10,97.028,-142.621,90.0,bottom
C11,98.933,-147.193,270.0,bottom
C12,88.9,-148.844,0.0,bottom
C13,90.043,-86.614,0.0,bottom
C14,104.775,-86.868,90.0,bottom
C15,101.219,-102.235,0.0,bottom
C16,92.202,-102.235,0.0,bottom
C17,80.772,-77.724,0.0,bottom
C18,84.709,-77.724,0.0,bottom
C19,91.694,-83.693,90.0,bottom
C2,89.916,-72.009,0.0,bottom
C20,101.727,-83.439,270.0,bottom
C21,109.474,-58.801,270.0,bottom
C22,84.074,-59.055,270.0,bottom
C23,111.8108,-73.3298,90.0,bottom
C24,116.459,-99.06,180.0,bottom
C25,105.918,-94.869,180.0,bottom
C26,86.487,-95.504,180.0,bottom
C27,77.216,-98.933,180.0,bottom
C3,76.454,-67.691,0.0,bottom
C8,89.408,-145.669,270.0,bottom
C9,91.186,-142.113,0.0,bottom
D1,101.219,-100.33,0.0,bottom
D10,81.788,-112.141,90.0,bottom
D11,86.36,-112.141,90.0,bottom
D2,109.474,-112.141,90.0,bottom
D3,111.76,-112.141,90.0,bottom
D4,107.188,-112.141,90.0,bottom
D8,92.202,-100.33,0.0,bottom
D9,84.074,-112.141,90.0,bottom
R1,76.454,-73.025,0.0,bottom
R10,115.824,-65.024,0.0,bottom
R11,108.458,-86.995,270.0,bottom
R12,112.014,-86.995,270.0,bottom
R13,104.775,-112.014,270.0,bottom
R14,115.824,-115.824,0.0,bottom
R15,95.885,-91.071,90.0,bottom
R16,94.234,-91.071,90.0,bottom
R17,92.583,-91.059,90.0,bottom
R18,97.663,-91.059,90.0,bottom
R19,100.965,-91.059,90.0,bottom
R2,89.916,-70.231,0.0,bottom
R20,99.314,-91.059,90.0,bottom
R21,90.043,-88.265,0.0,bottom
R22,103.124,-86.868,90.0,bottom
R23,101.219,-105.537,0.0,bottom
R24,116.459,-95.758,180.0,bottom
R25,116.459,-100.711,180.0,bottom
R26,101.2444,-98.425,180.0,bottom
R27,101.219,-107.188,0.0,bottom
R28,116.459,-97.409,180.0,bottom
R29,116.459,-102.362,180.0,bottom
R3,76.454,-71.247,0.0,bottom
R30,101.219,-96.7486,180.0,bottom
R31,103.505,-119.253,0.0,bottom
R32,109.474,-119.253,0.0,bottom
R33,115.443,-119.253,0.0,bottom
R34,101.219,-103.886,180.0,bottom
R35,77.216,-102.235,0.0,bottom
R36,77.216,-97.282,0.0,bottom
R37,92.202,-105.537,180.0,bottom
R38,92.202,-98.425,0.0,bottom
R39,77.216,-100.584,0.0,bottom
R4,76.454,-74.803,0.0,bottom
R40,77.216,-95.631,0.0,bottom
R41,92.202,-107.188,0.0,bottom
R42,92.202,-96.901,0.0,bottom
R43,90.043,-119.253,0.0,bottom
R44,84.074,-119.253,0.0,bottom
R45,78.0435,-119.253,0.0,bottom
R46,92.202,-103.886,180.0,bottom
R5,89.916,-73.787,0.0,bottom
R6,76.454,-69.469,0.0,bottom
R9,103.124,-65.024,180.0,bottom
U1,82.804,-71.882,90.0,bottom
U3,84.074,-99.822,270.0,bottom
U4,109.474,-99.822,270.0,bottom
U5,96.647,-84.963,0.0,bottom
