Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,20p,C_0603_1608Metric,49.784,-86.233,90,bottom
C2,20p,C_0603_1608Metric,34.163,-87.948,90,bottom
C3,180p,C_0603_1608Metric,51.435,-89.408,90,bottom
C4,180p,C_0603_1608Metric,34.163,-91.059,-90,bottom
C5,180p,C_0603_1608Metric,54.906333,-117.221,-90,bottom
C6,180p,C_0603_1608Metric,34.29,-118.097,-90,bottom
C7,1n,C_0603_1608Metric,79.398571,-90.805,-90,bottom
C8,1n,C_0603_1608Metric,71.609858,-121.666,90,bottom
C9,1n,C_0603_1608Metric,91.821,-90.932,-90,bottom
C10,1n,C_0603_1608Metric,66.729429,-118.555,-90,bottom
C11,1n,C_0603_1608Metric,91.821,-94.094,90,bottom
C12,1n,C_0603_1608Metric,76.049429,-93.98,90,bottom
C13,1n,C_0603_1608Metric,87.884,-117.7036,-90,bottom
C14,1n,C_0603_1608Metric,86.233,-120.904,90,bottom
C15,1n,C_0603_1608Metric,50.419,-98.362,-90,bottom
C16,1n,C_0603_1608Metric,48.768,-101.537,90,bottom
C17,100n,C_0603_1608Metric,45.085,-91.948,0,bottom
C18,100n,C_0603_1608Metric,40.259,-91.948,0,bottom
C19,100n,C_0603_1608Metric,43.053,-101.092,0,bottom
C20,100n,C_0603_1608Metric,38.227,-101.092,0,bottom
C21,100n,C_0603_1608Metric,85.484,-96.52,180,bottom
C22,100n,C_0603_1608Metric,78.613,-114.046,180,bottom
C23,100n,C_0603_1608Metric,83.554666,-133.35,90,bottom
C24,100n,C_0603_1608Metric,85.482332,-133.35,90,bottom
C25,100n,C_0603_1608Metric,84.9122,-145.288,90,bottom
C26,100n,C_0603_1608Metric,47.3,-49.4,180,bottom
C27,100n,C_0603_1608Metric,48,-68.8,-90,bottom
C28,10uF,CP_Elec_5x5.4,47.3,-54,180,bottom
C29,10uF,CP_Elec_5x5.4,44,-67.3,90,bottom
C30,100n,C_0603_1608Metric,82.677,-60.706,0,bottom
C31,180p,C_0603_1608Metric,43.0022,-125.667,90,bottom
C32,180p,C_0603_1608Metric,53.213,-120.409,90,bottom
C33,100n,C_0603_1608Metric,44.577,-115.57,0,bottom
C34,100n,C_0603_1608Metric,39.764,-115.57,0,bottom
C35,100n,C_0603_1608Metric,68.055,-132.067,90,bottom
C36,100n,C_0603_1608Metric,70.104,-132.067,90,bottom
C37,100n,C_0603_1608Metric,70.7136,-145.8468,90,bottom
C38,180p,C_0603_1608Metric,38.1,-105.537,-90,bottom
C39,180p,C_0603_1608Metric,31.877,-98.298,-90,bottom
D1,MBR0530-TP,D_SOD-123,41.91,-59.436,0,bottom
D2,MBR0530-TP,D_SOD-123,38.608,-73.406,180,bottom
R1,10k,R_0603_1608Metric,39.5478,-125.667,90,bottom
R2,10k,R_0603_1608Metric,41.275,-125.667,-90,bottom
R3,100k,R_0603_1608Metric,53.086,-86.233,90,bottom
R4,100k,R_0603_1608Metric,30.861,-87.948,90,bottom
R5,220k,R_0603_1608Metric,51.435,-86.233,-90,bottom
R6,220k,R_0603_1608Metric,32.512,-87.948,-90,bottom
R7,270k,R_0603_1608Metric,35.814,-87.948,90,bottom
R8,270k,R_0603_1608Metric,48.133,-86.233,90,bottom
R9,33k,R_0603_1608Metric,53.086,-89.408,-90,bottom
R10,33k,R_0603_1608Metric,35.814,-91.059,90,bottom
R11,1k,R_0603_1608Metric,49.784,-89.408,90,bottom
R12,1k,R_0603_1608Metric,32.512,-91.059,-90,bottom
R13,1k,C_1210_3225Metric,88.265,-146.812,-90,bottom
R14,1k,C_1210_3225Metric,80.518,-132.08,90,bottom
R15,10k,R_0603_1608Metric,51.4858,-120.409,90,bottom
R16,10k,R_0603_1608Metric,54.9402,-120.409,-90,bottom
R17,200k,R_0603_1608Metric,36.449,-105.537,-90,bottom
R18,100k,R_0603_1608Metric,39.751,-105.537,90,bottom
R19,10k,R_0603_1608Metric,51.519667,-117.221,-90,bottom
R20,10k,R_0603_1608Metric,32.635332,-118.097,-90,bottom
R21,30k,R_0603_1608Metric,53.213,-117.221,90,bottom
R22,30k,R_0603_1608Metric,36.002666,-118.097,90,bottom
R23,100k,R_0603_1608Metric,74.374858,-90.805,-90,bottom
R24,200k,R_0603_1608Metric,76.049429,-90.805,-90,bottom
R25,33k,R_0603_1608Metric,77.724,-90.805,90,bottom
R26,200k,R_0603_1608Metric,66.711286,-121.666,90,bottom
R27,100k,R_0603_1608Metric,68.344143,-121.666,90,bottom
R28,33k,R_0603_1608Metric,69.977,-121.666,-90,bottom
R29,200k,R_0603_1608Metric,95.14025,-90.932,-90,bottom
R30,100k,R_0603_1608Metric,93.480625,-90.932,-90,bottom
R31,33k,R_0603_1608Metric,90.161375,-90.932,90,bottom
R32,200k,R_0603_1608Metric,69.995143,-118.555,-90,bottom
R33,100k,R_0603_1608Metric,71.628,-118.555,-90,bottom
R34,33k,R_0603_1608Metric,68.362286,-118.555,90,bottom
R35,200k,R_0603_1608Metric,95.14025,-94.094,90,bottom
R36,100k,R_0603_1608Metric,93.480625,-94.094,90,bottom
R37,33k,R_0603_1608Metric,90.161375,-94.094,-90,bottom
R38,200k,R_0603_1608Metric,77.724,-93.98,90,bottom
R39,100k,R_0603_1608Metric,79.398574,-93.98,90,bottom
R40,33k,R_0603_1608Metric,74.374858,-93.98,-90,bottom
R41,200k,R_0603_1608Metric,84.582,-117.7036,-90,bottom
R42,100k,R_0603_1608Metric,86.233,-117.7036,-90,bottom
R43,33k,R_0603_1608Metric,89.535,-117.7036,90,bottom
R44,200k,R_0603_1608Metric,89.535,-120.904,90,bottom
R45,100k,R_0603_1608Metric,87.884,-120.904,90,bottom
R46,33k,R_0603_1608Metric,84.582,-120.904,-90,bottom
R47,2k,R_0603_1608Metric,51.435,-75.692,180,bottom
R48,200k,R_0603_1608Metric,35.179,-98.298,-90,bottom
R49,100k,R_0603_1608Metric,33.528,-98.298,90,bottom
R50,1k,C_1210_3225Metric,67.437,-146.431,90,bottom
R51,200R,R_0603_1608Metric,62.484,-102.108,90,bottom
R52,33k,R_0603_1608Metric,47.117,-98.362,-90,bottom
R53,100k,R_0603_1608Metric,52.07,-98.362,90,bottom
R54,200k,R_0603_1608Metric,48.768,-98.362,-90,bottom
R55,200R,R_0603_1608Metric,64.77,-102.108,90,bottom
R56,1k,C_1210_3225Metric,81.534,-146.05,-90,bottom
R57,33k,R_0603_1608Metric,52.07,-101.537,90,bottom
R58,200k,R_0603_1608Metric,50.419,-101.537,90,bottom
R59,100k,R_0603_1608Metric,47.117,-101.537,-90,bottom
R60,1k,C_1210_3225Metric,88.011,-132.08,90,bottom
R61,1k,C_1210_3225Metric,73.66,-131.953,-90,bottom
U2,CD4052BPWR,TSSOP-16_4.4x5mm_P0.65mm,83.312,-64.643,-90,bottom
U3,MCP6004,TSSOP-14_4.4x5mm_P0.65mm,84.709,-92.837,-90,bottom
U4,TL074CPWR,TSSOP-14_4.4x5mm_P0.65mm,42.672,-88.392,-90,bottom
U5,TL074CPWR,TSSOP-14_4.4x5mm_P0.65mm,42.164,-119.253,-90,bottom
U6,MCP6004,TSSOP-14_4.4x5mm_P0.65mm,78.486,-117.602,-90,bottom
U7,LM4040DBZ-10,SOT-23,47.117,-74.803,180,bottom
U8,DG412DQ-T1-E3,TSSOP-16_4.4x5mm_P0.65mm,85.1916,-139.2936,0,bottom
U9,TL074CPWR,TSSOP-14_4.4x5mm_P0.65mm,40.64,-97.536,270,bottom
U10,DG412DQ-T1-E3,TSSOP-16_4.4x5mm_P0.65mm,69.596,-139.446,0,bottom
